,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.0,0.0,0.0,0.0,0.0,11.556587,0.0,3.9154644,11.475849,0.0,4.4479356,6.318721,0.0,3.584777,11.134806,4.7749214,0.0,8.1297455,0.20892246,2.9985301,4.159339,11.118818,0.0,0.0,2.8780272,0.0,4.1565714,0.0,0.0,0.11594458,7.8064637,11.9472065
1,0.0,6.0471616,8.526429,5.574128,0.0,4.6185565,0.0,1.9024707,6.9026227,0.0,0.0,0.0,0.0,23.449228,0.38010293,0.0,0.0,0.0,0.0,4.989435,0.0,8.307064,0.0,0.0,0.0,3.732015,0.0,0.0,12.666093,16.498425,0.0,1.7159737
2,0.0,9.666889,0.0,0.0,0.0,0.0,8.136793,11.352262,5.6675224,0.0,7.4947906,3.0865788,0.0,7.407746,6.136315,14.836866,0.0,15.560784,0.0,2.4856868,17.647846,19.568232,0.0,0.0,13.737092,6.7395706,7.168306,0.0,12.4796505,6.082788,0.0,7.3347545
3,0.0,10.043106,0.0,0.0,0.0,0.0,0.0,6.7346954,2.238044,4.986958,0.0,6.8051996,0.0,5.6495233,7.985883,4.7188587,0.494008,3.4584322,7.8786798,2.9869635,0.26968277,0.0,0.0,0.0,7.237996,4.7518244,0.0,12.918113,0.0,2.3423116,0.0,17.877289
4,0.0,0.0,0.0,0.0,0.0,7.8373127,0.0,5.3904634,3.2079833,1.5786519,2.442288,1.4694324,0.0,0.15281394,3.4468503,0.0,0.0,0.0,8.2888365,3.2032015,6.7486877,0.0,0.0,0.0,5.340923,5.312776,10.202689,4.008577,4.40342,0.0,11.612467,3.984593
5,0.0,0.0,0.0,1.4039719,0.0,6.4087057,0.0,10.414481,4.3383574,0.0,2.0293813,4.9715614,0.0,6.3111925,10.777425,15.710505,0.0,12.831418,2.708212,6.2668786,0.0,0.0,0.0,0.0,10.337409,0.0,1.7813013,0.0,2.8239942,0.0,0.0,8.8932295
6,0.0,0.53923607,0.0,0.0,0.29995114,5.2235107,0.0,8.4916115,6.0814476,1.002555,7.928801,1.1942134,0.0,2.78449,5.400596,0.0,0.0,5.988486,2.3697176,2.5380871,6.7085824,7.9461675,0.0,0.0,9.2618475,2.9032724,0.0,0.0,0.0,6.1379857,7.195149,6.0317583
7,0.0,2.8406968,0.0,1.0232432,0.0,0.0,1.8503594,7.4675803,4.7687516,0.0,7.763578,0.47042388,0.0,4.130751,13.243865,4.6279435,0.0,0.849929,3.4456217,2.571665,10.573324,1.8393291,0.0,0.0,5.2177,3.9072623,7.6638207,0.0,3.6578481,11.734269,9.342868,8.445721
8,0.0,0.52776355,3.078483,0.0,0.0,0.0,0.0,3.962008,7.8910813,0.08696306,3.2912064,6.1929283,0.0,9.796824,1.5172677,0.0,0.0,0.0,2.1362867,8.400462,4.071922,0.0,0.0,0.0,6.98665,0.0,9.730967,0.0,0.78364575,3.5283556,12.609919,8.581457
9,0.0,5.4661107,0.0,0.0,0.0,0.0,0.0,5.8545327,1.8320433,0.0,0.0,2.782716,3.0972717,5.455291,7.4033995,0.0,0.0,0.0,4.6650863,3.2248547,0.0,0.0,0.0,0.0,4.3255796,6.210344,0.0,0.6955106,0.0,1.1985568,5.4944835,10.96762
10,0.0,0.0,0.0,3.8905337,0.0,3.2418563,0.0,0.0,3.9042013,0.0,1.6795263,3.41032,0.0,19.736195,5.439205,0.0,0.0,0.0,0.0,0.6029203,0.0,7.8344216,0.0,0.0,0.0,3.6109228,0.0,0.0,6.977027,15.537162,0.0,0.0
11,0.0,1.3262179,0.0,0.0,0.0,0.0,0.0,4.537835,6.1745696,3.1416514,1.9500968,6.773998,0.0,5.7318964,5.917368,4.3223686,0.0,4.92345,1.058923,2.1094477,0.18969958,0.0,0.0,0.0,4.7274895,0.052792024,0.60606635,1.392205,0.0,0.0,0.7735063,7.6803174
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0541587,0.0,1.9710342,6.2816067,8.060062,0.0,7.8521085,1.3368562,5.2722344,0.0,3.9863503,0.0,0.0,4.3166895,0.0,0.0,0.013478152,9.961782,4.3679814,10.37843,0.0,4.2311664,0.0,6.510202,2.5099962
13,0.0,6.5506277,0.0,0.0,0.0,0.0,0.0,5.5633006,0.0,0.0,0.0,4.0634804,0.0,0.0,4.1859055,1.0576208,3.265584,9.96445,8.358066,0.0,0.0,0.0,0.0,0.0,8.948489,0.0,0.0,4.1178474,0.0,0.0,0.0,25.38496
