,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,5.94,4.94,0.004913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.457,4.535,0.0,7.55,0.0,0.0,0.0,3.79,8.15,12.8,0.0,8.96,0.0,0.0,0.0,6.934,0.0,10.266,7.2,8.36,0.0,7.08
1,0.0,3.816,1.931,0.0,0.0,0.0,0.0,0.0,0.0,1.803,0.0,3.365,0.0,0.0,0.4805,11.37,6.125,6.926,0.0,12.266,0.0,0.0,3.727,0.0,9.87,15.81,0.0,0.0,0.0,0.0,0.0,28.05
2,4.918,8.17,0.0,0.0,0.0,0.0,2.646,10.16,0.0,0.0,0.0,17.53,3.791,16.22,6.6,0.0,8.94,2.799,9.62,0.0,0.0,16.31,5.06,0.0,5.145,13.55,0.0,2.453,8.1,17.56,0.0,19.3
3,0.0,0.0,0.0,0.0,13.12,0.0,0.0,11.055,0.0,0.0,0.0,2.992,6.723,6.55,8.21,3.299,3.697,9.414,0.0,2.623,0.0,0.0,1.547,0.7705,0.0,0.0,0.0,2.287,6.4,0.0,0.0,8.9
4,0.0,0.0,0.0,5.195,0.0,0.0,5.16,5.19,0.0,9.75,0.0,4.07,0.0,4.832,9.46,0.0,0.0,11.39,1.666,6.86,0.0,14.81,0.0,0.0,7.605,12.69,0.0,5.434,0.0,8.91,0.0,0.0
5,0.0,0.0,0.0,0.0,3.58,0.0,0.0,0.0,1.469,4.363,0.0,6.53,1.61,5.043,4.09,0.0,11.49,11.13,0.0,9.65,0.0,0.0,7.59,0.0,0.0,4.168,0.0,3.27,14.16,6.37,0.0,5.824
6,6.598,8.51,0.0,0.0,0.0,0.0,0.0,3.568,0.0,6.484,0.0,5.645,0.0,10.266,2.016,0.0,10.01,4.188,2.006,17.58,0.0,10.26,2.607,0.0,0.0,4.58,0.0,2.771,0.0,4.875,0.0,1.729
7,0.0,16.81,0.0,1.399,0.0,0.0,0.0,6.18,0.0,3.44,4.64,0.0,0.0,10.68,0.0,0.0,0.0,5.004,5.426,3.404,0.0,6.332,0.0,0.0,2.113,19.14,0.0,2.062,7.227,16.06,0.0,6.723
8,0.0,0.08624,0.0,0.0,3.518,0.0,0.0,0.0,0.0,4.195,0.5513,0.0,0.0,1.617,4.266,0.0,2.848,2.902,0.0,12.13,0.0,2.02,0.0,0.0,0.0,8.23,0.0,2.498,2.574,0.0,0.0,0.0
9,0.0,1.215,0.0,1.45,5.242,0.0,0.0,7.32,0.0,0.3916,0.0,0.02301,5.336,0.0,0.0,0.0,0.0,12.67,0.0,3.846,0.0,0.0,2.328,0.0,0.0,2.56,0.0,4.45,7.19,0.0,0.0,7.902
10,0.0,5.645,0.0,0.0,4.28,0.0,0.0,0.0,0.0,0.0,0.0,2.586,0.0,2.037,0.0,0.0,9.95,0.0,0.0,12.51,0.0,0.0,9.195,0.0,0.0,5.043,0.0,6.617,1.232,0.0,0.0,21.27
11,0.0,4.727,0.0,0.8735,2.428,0.0,0.0,6.31,0.0,2.244,3.295,3.762,0.0,3.229,0.0,0.0,8.03,2.598,0.0,4.99,0.0,1.721,6.836,0.0,0.0,3.781,0.0,8.82,6.875,2.346,0.0,1.4
12,0.0,7.2,0.0,1.158,2.145,0.0,0.0,0.0,4.246,4.45,3.348,11.95,0.0,5.85,0.0,0.0,4.688,5.49,5.355,7.7,0.0,6.58,7.945,0.0,7.094,7.67,0.0,6.36,12.39,5.48,0.0,0.0
13,0.0,6.727,0.0,0.0,18.36,0.0,0.0,14.36,0.0,0.0,0.0,5.566,6.53,0.0,8.21,0.0,12.23,8.11,0.0,7.797,0.0,0.0,10.23,0.0,0.0,2.557,0.0,4.06,1.046,0.0,0.0,10.03
14,3.014,6.746,0.0,1.209,3.404,0.0,0.0,2.992,0.0,4.117,0.0,0.0,0.0,1.89,0.9946,0.0,0.3318,6.785,0.0,12.305,0.0,4.92,0.0,0.0,0.0,10.03,0.0,3.074,1.5,10.36,0.0,0.0
15,0.0,1.99,0.0,0.3406,4.797,0.0,0.0,3.654,2.39,0.0,0.0,0.5625,2.514,0.0,0.0,0.0,0.81,6.965,0.0,5.477,0.0,0.0,1.441,0.0,0.0,5.89,0.0,6.34,5.33,3.045,0.0,0.0
16,0.0,3.24,0.0,1.835,9.914,0.0,0.0,13.555,0.0,3.605,0.0,0.0,10.34,1.79,0.0,0.0,0.1638,9.08,0.0,6.92,0.0,0.0,5.348,0.0,0.0,2.406,0.0,4.47,1.338,0.0,0.0,2.545
17,4.055,1.53,0.0,0.0,1.92,0.0,0.0,1.41,0.0,3.582,0.0,3.428,0.0,6.457,2.074,0.0,0.0,11.05,0.0,12.445,2.18,9.49,0.0,0.0,0.4407,7.746,0.0,0.0,6.05,12.28,0.0,3.773
18,0.0,4.33,0.0,0.0,27.03,0.0,0.0,18.66,0.0,0.0,0.0,0.0,4.008,0.0,4.074,8.125,0.33,2.523,0.0,5.957,0.0,0.0,13.22,0.0,2.473,0.0,0.0,0.0,2.05,0.0,0.0,10.19
19,0.0,4.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.234,9.24,0.0,0.0,0.0,0.0,7.91,0.3884,2.355,17.7,0.0,6.047,1.841,0.0,0.0,7.047,0.0,2.816,5.66,7.73,0.0,11.01
20,0.0,4.453,1.396,0.0,0.0,0.0,0.0,0.0,0.0,5.195,0.0,11.37,0.0,0.0,0.0,5.777,15.125,0.0,0.0,10.76,0.0,0.0,5.84,0.0,5.95,8.11,0.0,0.0,0.0,0.0,0.0,18.12
21,0.0,0.0,0.0,0.0,9.32,0.0,0.0,0.0,0.0,5.35,0.0,0.0,3.893,4.57,0.0,0.0,0.0,2.08,0.0,7.42,0.0,0.0,0.0,0.0,0.0,7.145,0.0,4.88,2.578,0.0,0.0,5.984
22,0.0,10.63,0.0,0.0,6.062,0.0,0.0,0.0,0.0,8.46,0.0,5.945,0.0,16.75,0.719,4.39,15.164,0.0,0.0,19.88,0.0,0.6514,6.086,0.0,0.806,0.0,0.0,6.438,5.1,0.0,2.023,21.25
23,0.0,3.83,0.0,0.0853,4.367,0.0,0.0,1.4795,0.0,3.129,0.0,0.7334,1.305,0.7236,0.0,0.0,2.111,6.406,0.0,2.557,0.0,0.0,0.4414,0.0,0.0,6.914,0.0,7.63,5.02,2.152,0.0,0.0
24,1.404,1.315,0.0,0.0,12.836,0.0,0.0,0.0,0.0,4.312,0.0,5.52,17.72,2.865,0.0,0.0,0.0,12.07,0.0,7.812,0.0,0.0,5.24,0.0,0.0,1.454,0.0,3.285,1.997,0.0,0.0,2.158
